Score,Avg,Highscore,Life
-501,-4.10655737704918,0,0
-505,-1.8913857677902621,0,1
-509,-1.4060773480662982,0,2
-507,-1.1367713004484306,0,3
-500,-0.8038585209003215,0,4
-496,-0.6041412911084044,0,5
-469,-0.4598039215686274,0,6
-370,-0.30352748154224773,0,7
-325,-0.22919605077574048,0,8
-334,-0.20655534941249226,0,9
-298,-0.16409691629955947,0,10
-253,-0.12555831265508685,0,11
-253,-0.11427280939476062,0,12
-289,-0.11976792374637381,0,13
-244,-0.09341500765696784,0,14
-253,-0.09000355745286374,0,15
-226,-0.07508305647840531,0,16
-244,-0.07603614833281395,0,17
-217,-0.0636737089201878,0,18
-217,-0.06016079844746327,0,19
-208,-0.05465055176037835,0,20
-217,-0.05418227215980025,0,21
-208,-0.049476688867745006,0,22
-208,-0.047240517828753124,0,23
-199,-0.04324206866579748,0,24
-208,-0.043324307435950844,0,25
-508,-0.10377936670071501,0,26
-500,-0.10111223458038422,0,27
-501,-0.10028022417934347,0,28
-500,-0.09908838684106223,0,29
-500,-0.09811616954474098,0,30
-226,-0.04268177525967894,0,31
-504,-0.09422321929332586,0,32
-501,-0.09277777777777778,0,33
-500,-0.09159186664224217,0,34
-208,-0.0367621067515023,0,35
-501,-0.08586118251928021,0,36
-501,-0.08511722731906218,0,37
-500,-0.08423180592991913,0,38
-500,-0.0835282325425994,0,39
-500,-0.0828363154406892,0,40
-500,-0.0821557673348669,0,41
-500,-0.08148631029986962,0,42
-500,-0.0808276753960556,0,43
-502,-0.08047451106123758,0,44
-500,-0.07951653944020357,0,45
-298,-0.04593802990596578,0,46
-199,-0.02976368531259348,0,47
-199,-0.028903413217138706,0,48
-199,-0.028091473743647656,0,49
-199,-0.027323904984209803,0,50
-208,-0.027800053461641272,0,51
-199,-0.02590808488478063,0,52
-199,-0.025253807106598986,0,53
-199,-0.02463176135660354,0,54
-199,-0.024039623097366514,0,55
-199,-0.023475286068184498,0,56
-199,-0.022936837252189948,0,57
-199,-0.022422535211267604,0,58
-199,-0.021930791271765483,0,59
-199,-0.021460153132750997,0,60
-199,-0.02100929054054054,0,61
-199,-0.02057698273187881,0,62
-199,-0.020162107396149948,0,63
-199,-0.019763630946469362,0,64
-199,-0.01938059992208804,0,65
-199,-0.019012133371548678,0,66
-199,-0.018657416088505532,0,67
-199,-0.018315692590888173,0,68
-199,-0.017986261749819234,0,69
-199,-0.017668471987925063,0,70
-199,-0.01736171697783982,0,71
-199,-0.017065431781150844,0,72
-199,-0.016779089376053963,0,73
-199,-0.01650219752881665,0,74
-199,-0.01623429596997879,0,75
-199,-0.015974953841213776,0,76
-199,-0.015723767383059417,0,77
-199,-0.015480357837417347,0,78
-199,-0.015244369541902865,0,79
-199,-0.015015468195880177,0,80
-199,-0.0147933392804044,0,81
-199,-0.0145776866163651,0,82
-199,-0.014368231046931407,0,83
-199,-0.014164709231973806,0,84
-199,-0.013966872543514879,0,85
-199,-0.01377448605246764,0,86
-199,-0.01358732759797897,0,87
-199,-0.01340518693162681,0,88
-199,-0.013227864929540017,0,89
-199,-0.01305517286623368,0,90
-199,-0.01288693174459267,0,91
-199,-0.012722971677002749,0,92
-199,-0.012563131313131312,0,93
-199,-0.01240725731030613,0,94
-199,-0.012255203842837788,0,95
-199,-0.01210683214698546,0,96
-199,-0.01196201009858139,0,97
-199,-0.01182061182061182,0,98
-199,-0.011682517318304567,0,99
-199,-0.011547612139499798,0,100
-199,-0.011415787058283616,0,101
-199,-0.011286937780046509,0,102
-199,-0.011160964666292765,0,103
-199,-0.011037772477674858,0,104
-199,-0.010917270133859996,0,105
-199,-0.010799370488956423,0,106
-199,-0.010683990121335767,0,107
-199,-0.010571049136786189,0,108
-199,-0.010460470984020184,0,109
-199,-0.010352182281641783,0,110
-199,-0.01024611265575121,0,111
-199,-0.010142194587431833,0,112
-199,-0.010040363269424823,0,113
-199,-0.009940556471352216,0,114
-199,-0.009842714412899396,0,115
-199,-0.009746779644413969,0,116
-199,-0.009652696934419868,0,117
-199,-0.009560413163583954,0,118
-199,-0.009469877224707338,0,119
-199,-0.009381039928345826,0,120
-199,-0.009293853913693256,0,121
-199,-0.009208273564388506,0,122
-199,-0.009124254928931683,0,123
-199,-0.009041755645417784,0,124
-199,-0.008960734870317002,0,125
-199,-0.008881153211050118,0,126
-199,-0.008802972662125099,0,127
-199,-0.008726156544617409,0,128
-199,-0.008650669448791514,0,129
-199,-0.008576477179675041,0,130
-199,-0.008503546705409794,0,131
-199,-0.008431846108215754,0,132
-199,-0.008361344537815125,0,133
-199,-0.008292012167173632,0,134
-199,-0.008223820150425654,0,135
-199,-0.008156740582858549,0,136
-199,-0.008090746462839487,0,137
-199,-0.008025811655575721,0,138
-199,-0.007961910858606066,0,139
-199,-0.007899019568927877,0,140
-199,-0.007837114051669817,0,141
-199,-0.007776171310226251,0,142
-199,-0.0077161690577743315,0,143
-199,-0.007657085690099657,0,144
-199,-0.007598900259660913,0,145
-199,-0.0075415924508280595,0,146
-199,-0.0074851425562326036,0,147
-199,-0.007429531454172111,0,148
-199,-0.0073747405870145276,0,149
-199,-0.00732075194055108,0,150
-199,-0.007267548024249507,0,151
-199,-0.007215111852362134,0,152
-199,-0.0071634269258459326,0,153
-199,-0.007112477215054148,0,154
