Score,Avg,Highscore,Life
-506,131,0,0
-504.0,156,0,1
-509,139,0,2
-500.5,175,0,3
-505,154,0,4
-503.0,161,0.5,5
-500.0,134,0,6
-500,167,0,7
-504.0,162,0,8
-500.5,175,0,9
-500.0,179,0,10
-508,267,0,11
-505,172,0,12
-509.5,187,0,13
-502,178,0,14
-509,176,0,15
-507,331,0,16
-504,309,4,17
-504.5,182,0,18
-500.5,220,0,19
-506,250,0,20
-500,131,0,21
-500.5,217,0,22
-500.5,148,0,23
-500.5,217,0,24
-503,388,2,25
-501,168,0,26
-504,221,2,27
-500,230,0,28
-507.5,431,3.5,29
-500,284,0,30
-506.0,296,0,31
-501,258,0,32
-504.0,354,0,33
-500,293,0,34
-508,265,0,35
-501.0,537,5.5,36
-507.0,456,10.5,37
-508,373,0,38
-500.0,371,0,39
-500.0,377,0,40
-500,374,0,41
-500.5,394,0,42
-500,356,0,43
-500,383,0,44
-500.0,368,2.5,45
-507,363,0,46
-500,383,0,47
-502,439,0,48
-500,419,0,49
-509,419,0,50
-500,812,179,51
-503,422,0,52
-500.5,385,0.5,53
-500,446,0,54
-501,93,0,55
-501,89,0,56
-501,163,0,57
-503,104,0,58
-505,93,0,59
-504.0,103,0,60
-502,98,0,61
-505,86,0,62
-505,96,0,63
-501,92,0,64
-502,98,0,65
-500.5,99,0,66
-505,96,0,67
-502,94,0,68
-505.0,111,0,69
-501,104,0,70
-505,92,0,71
-502,90,0,72
-501,99,0,73
-500,92,0,74
-501,89,0,75
-504.0,97,0,76
-504,84,0,77
-501,92,0,78
-503,96,0,79
-503,95,0,80
-501,93,0,81
-500.0,92,0,82
-501,92,0,83
-504.5,91,0,84
-502,89,0,85
-500.5,99,0,86
-502.5,94,0,87
-503,93,0,88
-504,84,0,89
-505,86,0,90
-502.5,95,0,91
-505.5,173,0,92
-503.5,93,0,93
-505,93,0,94
-500.5,93,0,95
-500,90,0,96
-503,202,0,97
-503,89,0,98
-500,369,0,99
-500.0,434,0,100
-500,437,0,101
-500,437,0,102
-500,374,0,103
-500,437,0,104
-500,428,0,105
-500,437,0,106
-500,437,0,107
-500.0,1334,74.5,108
-500,500,35,109
-500,428,0,110
-500,473,0,111
-509.5,1225,125.5,112
-500,428,0,113
-500.5,1786,0,114
-506,443,0,115
-500,410,0,116
-500.5,1528,0,117
-502,430,0,118
-500.0,584,0,119
-505,406,0,120
-500,940,234,121
-500,455,0,122
-500,455,0,123
-500.0,428,0,124
-500.5,2104,0,125
-500,410,0,126
-500,455,0,127
-500,446,0,128
-500,374,0,129
-500,473,0,130
-500,410,0,131
-500,446,0,132
-500,410,0,133
-500,437,0,134
-500,455,0,135
-500,419,0,136
-500,419,0,137
-508.0,1780,0,138
-500,446,0,139
-500.0,1697,0,140
-500,455,0,141
-500.5,406,0,142
-500,455,0,143
-500.0,1082,73.0,144
-500,410,0,145
-500,428,0,146
-506.0,1247,200.0,147
-500,464,0,148
-500,437,0,149
-500.5,1387,10.5,150
-500.0,1445,0,151
-500,401,0,152
-500,437,0,153
-500.0,536,0,154
-500,374,0,155
-500.5,1048,0,156
-500,464,0,157
-500,455,0,158
-500.0,434,0,159
-500.5,523,0,160
-500,455,0,161
-500,401,0,162
-500,437,0,163
-500,410,0,164
-500.5,1270,0,165
-500.5,835,0,166
-500.5,457,0,167
-500.0,476,0,168
-500,419,0,169
-500,464,0,170
-505,451,0,171
-500,428,0,172
-500,437,0,173
-502,439,0,174
-500.0,542,0,175
-500,428,0,176
-500,464,0,177
-500.5,523,16.5,178
-500,455,0,179
-500,464,0,180
-500,464,0,181
-500,482,0,182
-500.0,518,0,183
-500,473,0,184
-500.0,1622,72.5,185
-500,392,0,186
-500,437,0,187
-508,436,0,188
-504.0,1155,0,189
-500,437,0,190
-500,428,0,191
-500,446,0,192
-500.5,484,0,193
-500.5,472,0,194
-500,437,0,195
-500.0,515,17.0,196
-500,410,0,197
-500,768,158,198
-500,455,0,199
