Score,Avg,Highscore,Life
-501.5,98,0,0
-509,127,0,1
-504.5,182,0.5,2
-500.5,142,0,3
-501,146,0,4
-509.0,143,0,5
-503.5,189,0,6
-500.0,170,0,7
-506.0,173,0,8
-501,141,0,9
-501,132,0,10
-500,140,0,11
-506.0,224,1.0,12
-502,133,0,13
-506.0,167,0,14
-509.5,187,0,15
-508,193,0,16
-505,172,0,17
-500.0,218,0,18
-506,197,12,19
-503.5,220,0,20
-500.0,245,0,21
-500.5,272,0,22
-505,178,0,23
-503,155,0,24
-501,157,0,25
-509.0,220,0,26
-502.5,238,3.0,27
-507,195,0,28
-502.5,241,0,29
-503,145,0,30
-500,132,0,31
-500.5,167,0,32
-504,156,0,33
-500.0,132,0.5,34
-505,143,0,35
-505,143,0,36
-505,166,3,37
-507,132,0,38
-506,148,0,39
-503,138,0,40
-509.0,183,1.5,41
-505,226,0,42
-503,117,0,43
-504,139,0,44
-500,97,0,45
-503.0,139,0,46
-500.0,144,1.5,47
-500,132,0,48
-504,147,0,49
-503,125,0,50
-502,291,0,51
-500,277,0,52
-500,368,0,53
-506.5,358,0,54
-500,329,0,55
-500.0,533,0,56
-508.5,756,0,57
-509,410,0,58
-500.0,1118,177.0,59
-500,383,0,60
-500,419,0,61
-500.5,1009,141.0,62
-500.5,1249,85.5,63
-500,437,0,64
-501.5,440,0,65
-500,455,0,66
-504,414,0,67
-500,428,0,68
-500.5,436,0,69
-500,729,149,70
500,577,500,71
